"id","town","county"
"823","Velator","Devon"
"824","Veensgarth","Shetland Isles"
"825","Vaynor","Merthyr Tydfil/Merthyr Tydfil"
"826","Vaynol Hall","Gwynedd/Gwynedd"
"827","Vauxhall","London"
"828","Vauxhall","Lancashire"
"829","Vauxhall","West Midlands"
"830","Vauld, The","Herefordshire"
"831","Vatten","Highland"
"832","Vaul","Argyll and Bute"
"833","Vatsetter","Shetland Isles"
"834","Vatersay","Western Isles"
"835","Vassa","Shetland Isles"
"836","Vastern","Wiltshire"
"837","Varteg","Torfaen"
"838","Varchoel","Powys/Powys"
"839","Varfell","Cornwall"
"840","Vange","Essex"
"841","Vanlop","Shetland Isles"
"842","Van","Caerphilly/Caerffili"
"843","Valtos","Highland"
"844","Van","Powys/Powys"
"845","Valley Truckle","Cornwall"
"846","Valley, The","Pembrokeshire/Sir Benfro"
"847","Vallay","Western Isles"
"848","Valley (Dyffryn)","Anglesey/Sir Fon"
"849","Vale, The","West Midlands"
"850","Valeswood","Shropshire"
"851","Vale of Health","London"
"852","Vale Of Evesham","Worcestershire"
"853","Vale","Durham"
"854","Vale Down","Devon"
"855","Valasay","Western Isles"
"856","Vagg","Somerset"
"857","Vaila","Shetland Isles"
"858","Vacsay","Western Isles"
"859","Vagastie","Highland"
"860","Vachelich","Pembrokeshire/Sir Benfro"
"861","Vacasay Island","Western Isles"
"862","Vaccasay","Western Isles"
"863","Uzmaston","Pembrokeshire/Sir Benfro"
"864","Uyeasound","Shetland Isles"
"865","Uynarey","Shetland Isles"
"866","Uyea","Shetland Isles"
"867","Uxbridge Moor","London"
"868","Uxbridge","London"
"869","Uttoxeter","Staffordshire"
"870","Uwchmynydd","Gwynedd/Gwynedd"
"871","Utterby","Lincolnshire"
"872","Utley","West Yorkshire"
"873","Uton","Devon"
"874","Utkinton","Cheshire"
"875","Usworth","Durham"
"876","Usk Reservoir","Powys/Powys"
"877","Usselby","Lincolnshire"
"878","Usk","Newport"
"879","Usk (Brynbuga)","Monmouthshire/Sir Fynwy"
"880","Usk","Powys/Powys"
"881","Ushaw Moor","Durham"
"882","Urvaig","Argyll and Bute"
"883","Urquhart","Moray"
"884","Urr","Dumfries and Galloway"
"885","Urra","North Yorkshire"
"886","Urr Water","Dumfries and Galloway"
"887","Urpeth","Durham"
"888","Urmston","Manchester"
"889","Urlay Nook","Durham"
"890","Urie Lingey","Shetland Isles"
"891","Urgha River","Western Isles"
"892","Urie","Aberdeenshire"
"893","Urgha Beag","Western Isles"
"894","Urgashay","Somerset"
"895","Urgha","Western Isles"
"896","Ure Bank","North Yorkshire"
"897","Ure","North Yorkshire"
"898","Ure","Shetland Isles"
"899","Urchfont","Wiltshire"
"900","Urdimarsh","Herefordshire"
"901","Uragaig","Argyll and Bute"
"902","Urafirth","Shetland Isles"
"903","Upwick Green","Hertfordshire"
"904","Upwood","Cambridgeshire"
"905","Upwell","Norfolk"
"906","Upwey","Dorset"
"907","Upware","Cambridgeshire"
"908","Upwaltham","West Sussex"
"909","Upton Warren","Worcestershire"
"910","Upton upon Severn","Worcestershire"
"911","Upton St Leonards","Gloucestershire"
"912","Upton Snodsbury","Worcestershire"
"913","Upton Scudamore","Wiltshire"
"914","Upton Rocks","Cheshire"
"915","Upton Pyne","Devon"
"916","Upton Park","Northumberland"
"917","Upton Noble","Somerset"
"918","Upton Magna","Shropshire"
"919","Upton Lovell","Wiltshire"
"920","Upton Hellions","Devon"
"921","Upton Heath","Cheshire"
"922","Upton Green","Norfolk"
"923","Upton Grey","Hampshire"
"924","Upton End","Bedfordshire"
"925","Upton Field","Nottinghamshire"
"926","Upton Cross","Cornwall"
"927","Upton Crews","Herefordshire"
"928","Upton Cressett","Shropshire"
"929","Upton Cheyney","Gloucestershire"
"930","Upton Bishop","Herefordshire"
"931","Upton","Cambridgeshire"
"932","Upton","Nottinghamshire"
"933","Upton","Norfolk"
"934","Upton","Nottinghamshire"
"935","Upton","West Yorkshire"
"936","Upton","Cheshire"
"937","Upton","Merseyside"
"938","Upton","Lincolnshire"
"939","Upton","North Yorkshire"
"940","Upton","Cumbria"
"941","Upton","Berkshire"
"942","Upton","Kent"
"943","Upton","Hampshire"
"944","Upton","Oxfordshire"
"945","Upton","Northumberland"
"946","Upton","Buckinghamshire"
"947","Upton","Warwickshire"
"948","Upton","Northamptonshire"
"949","Upton","Cambridgeshire"
"950","Upton","Devon"
"951","Upton","Leicestershire"
"952","Upton","Isle of Wight"
"953","Upton","Cornwall"
"954","Upton","Devon"
"955","Upton","Hampshire"
"956","Upton","Cornwall"
"957","Upton","Somerset"
"958","Upton","Dorset"
"959","Upton","Wiltshire"
"960","Upton","Somerset"
"961","Upthorpe","Gloucestershire"
"962","Upthorpe","Suffolk"
"963","Upstreet","Kent"
"964","Up Sydling","Dorset"
"965","Up Somborne","Hampshire"
"966","Upshire","Essex"
"967","Upsall","North Yorkshire"
"968","Upsher Green","Suffolk"
"969","Uppington","Shropshire"
"970","Uppper Longwood","Shropshire"
"971","Uppington","Dorset"
"972","Uppington","Shropshire"
"973","Uppincott","Devon"
"974","Uppingham","Rutland"
"975","Upper Wyche","Worcestershire"
"976","Upper Woodford","Wiltshire"
"977","Upper Woolhampton","Berkshire"
"978","Upper Wootton","Hampshire"
"979","Upper Wraxall","Wiltshire"
"980","Upperwood","Derbyshire"
"981","Upper Woodend","Aberdeenshire"
"982","Upper Wolverton","Worcestershire"
"983","Upper Wolvercote","Oxfordshire"
"984","Upper Witton","West Midlands"
"985","Upper Winchendon","Buckinghamshire"
"986","Upper Wield","Hampshire"
"987","Upper Wigginton","Shropshire"
"988","Upper Wick","Gloucestershire"
"989","Upper Wick","Worcestershire"
"990","Upper Whiston","South Yorkshire"
"991","Upper Weybread","Suffolk"
"992","Upper Weston","Somerset"
"993","Upper Westholme","Somerset"
"994","Upper Welson","Herefordshire"
"995","Upper Wellingham","East Sussex"
"996","Upper Welland","Worcestershire"
"997","Upper Weald","Buckinghamshire"
"998","Upper Weedon","Northamptonshire"
"999","Upper Wardington","Oxfordshire"
"1000","Upper Wardley","West Sussex"
"1001","Upper Vobster","Somerset"
"1002","Upper Walthamstow","London"
"1003","Upper Urafirth","Shetland Isles"
"1004","Upper Upham","Wiltshire"
"1005","Upper Upnor","Kent"
"1006","Upper Up","Wiltshire"
"1007","Upper Tysoe","Warwickshire"
"1008","Upper Town","Derbyshire"
"1009","Upper Treverward","Shropshire"
"1010","Upper Tullich","Highland"
"1011","Uppertown","Derbyshire"
"1012","Upper Town","West Yorkshire"
"1013","Upper Town","Durham"
"1014","Uppertown","Northumberland"
"1015","Upper Town","Wiltshire"
"1016","Upper Town","Somerset"
"1017","Upper Town","Somerset"
"1018","Uppertown","Highland"
"1019","Upper Town","Suffolk"
"1020","Upperton","Oxfordshire"
"1021","Upper Tooting","London"
"1022","Upperton","East Sussex"
"1023","Upperton","West Sussex"
"1024","Upper Threapwood","Wrexham"
"1025","Upper Thurnham","Lancashire"
"1026","Upperthorpe","Lincolnshire"
"1027","Upperthorpe","Derbyshire"
"1028","Upperthong","West Yorkshire"
"1029","Upper Tean","Staffordshire"
"1030","Upper Tankersley","South Yorkshire"
"1031","Upper Sydenham","London"
"1032","Upper Swell","Gloucestershire"
"1033","Upper Swanmore","Hampshire"
"1034","Upper Swainswick","Somerset"
"1035","Upper Sundon","Bedfordshire"
"1036","Upper Studley","Wiltshire"
"1037","Upper Strensham","Worcestershire"
"1038","Upper Street","Norfolk"
"1039","Upper Street","Suffolk"
"1040","Upper Street","Norfolk"
"1041","Upper Street","Suffolk"
"1042","Upper Street","Hampshire"
"1043","Upper Stratton","Wiltshire"
"1044","Upper Stowe","Northamptonshire"
"1045","Upper Stondon","Bedfordshire"
"1046","Upper Stoke","Norfolk"
"1047","Upper Stoke","West Midlands"
"1048","Uppersound","Shetland Isles"
"1049","Upper Stanton Drew","Somerset"
"1050","Upper Staploe","Bedfordshire"
"1051","Upper Soudley","Gloucestershire"
"1052","Upper Solva","Pembrokeshire/Sir Benfro"
"1053","Upper Slaughter","Gloucestershire"
"1054","Upper Slackstead","Hampshire"
"1055","Upper Skelmorlie","Ayrshire"
"1056","Upper Siddington","Gloucestershire"
"1057","Upper Shirley","London"
"1058","Upper Shirley","Hampshire"
"1059","Upper Shelton","Bedfordshire"
"1060","Upper Sheringham","Norfolk"
"1061","Upper Seagry","Wiltshire"
"1062","Upper Sapey","Herefordshire"
"1063","Upper Sanday","Orkney"
"1064","Upper Rochford","Worcestershire"
"1065","Upper Rodmersham","Kent"
"1066","Upper Ratley","Hampshire"
"1067","Upper Race","Torfaen"
"1068","Upper Quinton","Warwickshire"
"1069","Upper Postern","Kent"
"1070","Upper Poppleton","North Yorkshire"
"1071","Upper Persley","Aberdeenshire"
"1072","Upper Pickwick","Wiltshire"
"1073","Upper Pollicott","Buckinghamshire"
"1074","Upper Padley","Derbyshire"
"1075","Upper Ollach","Highland"
"1076","Upper Oddington","Gloucestershire"
"1077","Upper Ochrwyth","Caerphilly/Caerffili"
"1078","Upper North Dean","Buckinghamshire"
"1079","Upper Norwood","West Sussex"
"1080","Upper Norwood","London"
"1081","Upper Nobut","Staffordshire"
"1082","Upper Netchwood","Shropshire"
"1083","Upper Newbold","Derbyshire"
"1084","Upper Nash","Pembrokeshire/Sir Benfro"
"1085","Upper Neepaback","Shetland Isles"
"1086","Upper Morton","Gloucestershire"
"1087","Upper Moor Side","West Yorkshire"
"1088","Upper Moor","Worcestershire"
"1089","Upper Minety","Wiltshire"
"1090","Upper Milton","Oxfordshire"
"1091","Upper Milton","Somerset"
"1092","Upper Milovaig","Highland"
"1093","Upper Midway","Derbyshire"
"1094","Uppermill","Lancashire"
"1095","Upper Maes-coed","Herefordshire"
"1096","Upper Marsh","West Yorkshire"
"1097","Upper Midhope","South Yorkshire"
"1098","Upper Lye","Herefordshire"
"1099","Upper Lyde","Herefordshire"
"1100","Upper Lybster","Highland"
"1101","Upper Lydbrook","Gloucestershire"
"1102","Upper Ludstone","Shropshire"
"1103","Upper Longdon","Staffordshire"
"1104","Upper Lode","Gloucestershire"
"1105","Upper Lochton","Aberdeenshire"
"1106","Upper Loads","Derbyshire"
"1107","Upper Littleton","Somerset"
"1108","Upper Leigh","Staffordshire"
"1109","Upper Layham","Suffolk"
"1110","Upper Langwith","Derbyshire"
"1111","Upper Largo (Kirkton of Largo)","Fife"
"1112","Upper Langford","Somerset"
"1113","Upper Landywood","Staffordshire"
"1114","Upper Lambourn","Berkshire"
"1115","Upper Knockando","Moray"
"1116","Upper Kinsham","Herefordshire"
"1117","Upper Killay","Swansea"
"1118","Upper Kilchattan","Argyll and Bute"
"1119","Upper Kilcott","Gloucestershire"
"1120","Upper Kidston","Scottish Borders"
"1121","Upper Kergord","Shetland Isles"
"1122","Upper Inglesham","Wiltshire"
"1123","Upper Kenley","Fife"
"1124","Upper Ifold","Surrey"
"1125","Upper Hyde","Isle of Wight"
"1126","Upper Hoyland","South Yorkshire"
"1127","Upper Hulme","Staffordshire"
"1128","Upper Howsell","Worcestershire"
"1129","Upper Horsebridge","East Sussex"
"1130","Upper Hopton","West Yorkshire"
"1131","Upper Holloway","London"
"1132","Upper Holton","Suffolk"
"1133","Upper Hill","Herefordshire"
"1134","Upper Hill","Gloucestershire"
"1135","Upper Hindhope","Scottish Borders"
"1136","Upper Heyford","Oxfordshire"
"1137","Upper Hengoed","Shropshire"
"1138","Upper Hergest","Herefordshire"
"1139","Upper Heyford","Northamptonshire"
"1140","Upper Heaton","West Yorkshire"
"1141","Upper Hellesdon","Norfolk"
"1142","Upper Helmsley","North Yorkshire"
"1143","Upper Hayton","Shropshire"
"1144","Upper Hayesden","Kent"
"1145","Upper Haugh","South Yorkshire"
"1146","Upper Hatton","Staffordshire"
"1147","Upper Haselor","Worcestershire"
"1148","Upper Hartshay","Derbyshire"
"1149","Upper Hartfield","East Sussex"
"1150","Upper Hardwick","Herefordshire"
"1151","Upper Harbledown","Kent"
"1152","Upper Hardres Court","Kent"
"1153","Upper Handwick","Angus"
"1154","Upper Hamnish","Herefordshire"
"1155","Upper Hambleton","Rutland"
"1156","Upper Ham","Worcestershire"
"1157","Upper Halliford","Surrey"
"1158","Upper Halling","Kent"
"1159","Upper Halistra","Highland"
"1160","Upper Hale","Surrey"
"1161","Upper Hackney","Derbyshire"
"1162","Upper Guist","Norfolk"
"1163","Upper Green","West Yorkshire"
"1164","Upper Grove Common","Herefordshire"
"1165","Upper Green","Monmouthshire/Sir Fynwy"
"1166","Upper Green","Berkshire"
"1167","Upper Green","Essex"
"1168","Upper Green","Suffolk"
"1169","Upper Gravenhurst","Bedfordshire"
"1170","Upper Goldstone","Kent"
"1171","Upper Gornal","West Midlands"
"1172","Upper Gills","Highland"
"1173","Upper Godney","Somerset"
"1174","Upper Froyle","Hampshire"
"1175","Upper Gambolds","Worcestershire"
"1176","Upper Forge","Shropshire"
"1177","Upper Framilode","Gloucestershire"
"1178","Upper Feorlig","Highland"
"1179","Upper Fivehead","Somerset"
"1180","Upper Farmcote","Shropshire"
"1181","Upper Farringdon","Hampshire"
"1182","Upper End","Leicestershire"
"1183","Upper Enham","Hampshire"
"1184","Upper End","Derbyshire"
"1185","Upper End","Gloucestershire"
"1186","Upper Elmers End","London"
"1187","Upper Elkstone","Staffordshire"
"1188","Upper Ellastone","Staffordshire"
"1189","Upper Egleton","Herefordshire"
"1190","Upper Eastern Green","West Midlands"
"1191","Upper Edmonton","London"
"1192","Upper Eashing","Surrey"
"1193","Upper Dunsley","Hertfordshire"
"1194","Upper Dunsforth","North Yorkshire"
"1195","Upper Drummond","Highland"
"1196","Upper Dowdeswell","Gloucestershire"
"1197","Upper Dounreay","Highland"
"1198","Upper Dovercourt","Essex"
"1199","Upper Dormington","Herefordshire"
"1200","Upper Dinchope","Shropshire"
"1201","Upper Dicker","East Sussex"
"1202","Upper Denton","Cumbria"
"1203","Upper Diabaig","Highland"
"1204","Upper Denby","West Yorkshire"
"1205","Upper Dean","Devon"
"1206","Upper Dean","Bedfordshire"
"1207","Upper Deal","Kent"
"1208","Upper Dallachy","Moray"
"1209","Upperdale","Shetland Isles"
"1210","Upperdale","Derbyshire"
"1211","Upper Cwmbran","Torfaen"
"1212","Upper Cumberworth","West Yorkshire"
"1213","Upper Cudworth","South Yorkshire"
"1214","Upper Cound","Shropshire"
"1215","Upper Croxley","Somerset"
"1216","Upper Cotton","Staffordshire"
"1217","Upper Common","Hampshire"
"1218","Upper Colwall","Herefordshire"
"1219","Upper College","Shropshire"
"1220","Upper Coberley","Gloucestershire"
"1221","Upper Clatford","Hampshire"
"1222","Upper Clapton","London"
"1223","Upper Chute","Wiltshire"
"1224","Upper Church Village","Rhondda"
"1225","Upper Chicksgrove","Wiltshire"
"1226","Upper Cheddon","Somerset"
"1227","Upper Catesby","Northamptonshire"
"1228","Upper Catshill","Worcestershire"
"1229","Upper Chapel","Powys/Powys"
"1230","Upper Canterton","Hampshire"
"1231","Upper Canada","Somerset"
"1232","Upper Cam","Gloucestershire"
"1233","Upper Caldecote","Bedfordshire"
"1234","Upperby","Cumbria"
"1235","Upper Burgate","Hampshire"
"1236","Upper Bush","Kent"
"1237","Upper Bullington","Hampshire"
"1238","Upper Bucklebury","Berkshire"
"1239","Upper Buckenhill","Herefordshire"
"1240","Upper Brynamman","Carmarthenshire/Sir Gaerfyrddin"
"1241","Upper Bruntingthorpe","Leicestershire"
"1242","Upper Broughton","Nottinghamshire"
"1243","Upper Broxwood","Herefordshire"
"1244","Upper Brockholes","Durham"
"1245","Upper Broadheath","Worcestershire"
"1246","Upper Breakish","Highland"
"1247","Upper Breinton","Herefordshire"
"1248","Upper Brailes","Warwickshire"
"1249","Upper Brandon Parva","Norfolk"
"1250","Upper Boyndlie","Aberdeenshire"
"1251","Upper Borth","Cardiganshire/Ceredigion"
"1252","Upper Booth","Derbyshire"
"1253","Upper Bonchurch","Isle of Wight"
"1254","Upper Boddam","Aberdeenshire"
"1255","Upper Boddington","Northamptonshire"
"1256","Upper Boat","Rhondda"
"1257","Upper Blainslie","Scottish Borders"
"1258","Upper Birchwood","Derbyshire"
"1259","Upper Bentley","Worcestershire"
"1260","Upper Bighouse","Highland"
"1261","Upper Benefield","Northamptonshire"
"1262","Upper Beeding","West Sussex"
"1263","Upper Batley","West Yorkshire"
"1264","Upper Battlefield","Shropshire"
"1265","Upper Basildon","Berkshire"
"1266","Upper Bangor","Gwynedd/Gwynedd"
"1267","Upper Badcall","Highland"
"1268","Upper Astrop","Northamptonshire"
"1269","Upper Aston","Shropshire"
"1270","Upper Astley","Shropshire"
"1271","Upper Armley","West Yorkshire"
"1272","Upper Arncott","Oxfordshire"
"1273","Upper Arley","Worcestershire"
"1274","Upper Ardchronie","Highland"
"1275","Uppend","Hertfordshire"
"1276","Upper Affcot","Shropshire"
"1277","Uppat","Highland"
"1278","Upottery","Devon"
"1279","Uppacott","Devon"
"1280","Up Nately","Hampshire"
"1281","Upminster","London"
"1282","Up Mudford","Somerset"
"1283","Up Marden","West Sussex"
"1284","Uplyme","Devon"
"1285","Uploders","Dorset"
"1286","Uplowman","Devon"
"1287","Upleatham","West Yorkshire"
"1288","Upleadon Court","Gloucestershire"
"1289","Upleadon","Gloucestershire"
"1290","Uplawmoor","Ayrshire"
"1291","Uplands","Swansea"
"1292","Uplands","Gloucestershire"
"1293","Uphill Manor","Somerset"
"1294","Up Holland","Lancashire"
"1295","Uphempston","Devon"
"1296","Uphill","Somerset"
"1297","Up Hatherley","Gloucestershire"
"1298","Uphampton","Worcestershire"
"1299","Upham","Hampshire"
"1300","Upham","Devon"
"1301","Uphall Station","West Lothian"
"1302","Uphall","Dorset"
"1303","Uphall","West Lothian"
"1304","Up Green","Hampshire"
"1305","Upgate Street","Norfolk"
"1306","Upgate","Norfolk"
"1307","Up Exe","Devon"
"1308","Upend","Cambridgeshire"
"1309","Up End","Buckinghamshire"
"1310","Upcott","Herefordshire"
"1311","Upcott","Devon"
"1312","Upcott","Cornwall"
"1313","Upcott","Somerset"
"1314","Upchurch","Kent"
"1315","Upavon","Wiltshire"
"1316","Up Cerne","Dorset"
"1317","Unthank","Derbyshire"
"1318","Unthank","Cumbria"
"1319","Unsworth","Lancashire"
"1320","Unstone Green","Derbyshire"
"1321","Unst","Shetland Isles"
"1322","Unstone","Derbyshire"
"1323","United Downs","Cornwall"
"1324","Union Street","East Sussex"
"1325","Union Canal","West Lothian"
"1326","Union Mills","Isle of Man"
"1327","Unifirth","Shetland Isles"
"1328","Undley","Suffolk"
"1329","Undy","Monmouthshire/Sir Fynwy"
"1330","Underwood","Nottinghamshire"
"1331","Underwood","Newport"
"1332","Underwood","Pembrokeshire/Sir Benfro"
"1333","Underton","Shropshire"
"1334","Underwood","Devon"
"1335","Under the Wood","Kent"
"1336","Under Tofts","South Yorkshire"
"1337","Underlining Green","Kent"
"1338","Underriver","Kent"
"1339","Underriver Ho","Kent"
"1340","Underhoull","Shetland Isles"
"1341","Underhill","Wiltshire"
"1342","Underhill","London"
"1343","Underdown","Devon"
"1344","Underdale","Shropshire"
"1345","Undercliffe","West Yorkshire"
"1346","Under Bank","West Yorkshire"
"1347","Underbarrow","Cumbria"
"1348","Unapool","Highland"
"1349","Umbourne Brook","Devon"
"1350","Umborne","Devon"
"1351","Ulwell","Dorset"
"1352","Umberleigh","Devon"
"1353","Ulverley Green","West Midlands"
"1354","Ulverston","Cumbria"
"1355","Ulsta","Shetland Isles"
"1356","Ulva","Argyll and Bute"
"1357","Ulshaw","North Yorkshire"
"1358","Ulpha","Cumbria"
"1359","Ulrome","North Yorkshire"
"1360","Ullock","Cumbria"
"1361","Ullinish","Highland"
